orca_name,gender,mother,mother_name,calf_number,birth_date
L125,None,None,L86,Surprise!,4,February 2021
J58,Crescent,Female,J41,Eclipse,2,September 2020
J57,Phoenix,Male,J35,Tahlequah,3,September 2020
J56,Tofino,Female,J31,Tsuchi,1,May 2019
L124,Whistle,None,L77,Matia,3,January 2019
L123,Lazuli,Male,L103,Lapis,1,November 2015
J53,Kiki,Female,J17,PrincessAngeline,4,October 2015
L122,Magic,Male,L91,Mun,1,September 2015
L121,Windsong,Male,L94,Calypso,2,February 2015
J51,Nova,Male,J41,Eclipse,1,February 2015
J49,Tileml�nges,Male,J37,Hyshqa,1,August 2012
L119,Joy,Female,L77,Matia,1,May 2012
K44,Ripple,Male,K27,Deadhead,1,July 2011
L118,Jade,Female,L55,Nugget,4,January 2011
L117,Keta,Male,L54,Ino,2,December 2010
L116,Finn,Male,L82,Kasatka,1,October 2010
L115,Mystic,Male,L47,Marina,3,August 2010
K43,Saturna,Female,K12,Sequim,3,February 2010
J47,Notch,Male,J35,Tahlequah,1,January 2010
J46,Star,Female,J28,Polaris,1,November 2009
L113,Cousteau,Female,L94,Calypso,1,October 2009
J45,Seyichn,Male,J14,Samish,3,March 2009
J44,Moby,Male,J17,Princess Angeline,3,February 2009
K42,Kelp,Male,K14,Lea,4,June 2008
L110,Midnight,Male,L83,Moonlight,1,July 2007
J42,Echo,Female,J16,Slick,3,May 2007
L109,Takoda,Male,L55,Nugget,3,May 2007
L108,Coho,Male,L54,Ino,2,June 2006
J41,Eclipse,Female,J19,Shachi,2,July 2005
L106,Pooka,Male,L86,Surprise,1,June 2005
K38,Comet,Male,K20,Spock,1,December 2004
J40,Suttles,Female,J14,Samish,4,December 2004
L105,Fluke,Male,L72,Racer,1,October 2004
K37,Rainshadow,Male,K12,Sequim,4,January 2004
K36,Yoda,Female,K14,Lea,4,September 2003
L103,Lapis,Female,L55,Nugget,3,June 2003
J39,Mako,Male,J11,Blossom,4,May 2003
J38,Cookie,Male,J22,Oreo,2,May 2003
K35,Sonata,Male,K16,Opus,1,October 2002
K34,Cali,Male,K13,Skagit,4,Nov. 2001
J37,HyShqa,Female,J14,Samish,3,Jan 2001
K33,Tika,Male,K22,Sekiu,1,Jan. 2001
J36,Alki,Female,J16,Slick,3,1999
J35,Talequah,Female,J17,Princess Angeline,2, 1998
J17,Princess Angeline,Female,J5,None,2, 1977
J50,Scarlet,Female,J16,Slick,4,December 2014
J34,Doublestuf,Male,J22,Oreo,1, 1998
J54,Dipper,Male,J28,Polaris,2,December 2015
J28,Polaris,Female,J17,PrincessAngeline,1, 1993
L120,None,None,L86,Surprise!,2,Sept. 2014
J48,None,None,J16,Slick,5,Dec. 2011
L114,None,None,L77,Matia,2, 2010
L111,None,Female,L47,Marina,5,Aug. 12 2008
L101,Aurora,Male,L67,Splash,4, 2002
J43,None,None,J14,Samish,5,Nov 2007
L104,None,None,L43,JellyRoll,3,Oct. 2004
K41,None,None,K22,Sekiu,2,Nov. 2006
K39,None,None,K28,Raven,1,Sept. 2006
K31,Tosh,Male,K12,Sequim,3, 1999
L107,None,None,L47,Marina,5,June 2005
L102,None,Non,L47,Marina,4,Nov. 2002
